"","name","location","rating","text"
"58","Courtney C.","Chicago, IL",5,"My review is for Dr. Ravindra Ganesh, who is truly an amazing doctor. Thank you so much for your care for my case in 2017. Dr. Ganesh is caring, knows what he's talking about, and goes above and beyond. He talked to me like a real person, not just another patient, and turned a difficult time in my life around."
"59","Eric S.","Arizona City, AZ",1,"I was excited about going to Mayo Clinic because of their reputation, but found them to operate like a shady mechanic. I have been to many specialists over the years for my genetic condition but none that string you along like Mayo does. All other surgeons I have ever seen either say the will or won't operate. NOT MAYO. They took it upon themselves to schedule 8 more appointments for me without my permission and I am feeling like they will keep doing that without ever treating the issue I came in for originally. Then when you get your bill expecting one copay you see that they charge an extra office visit for every doctor that assisted the doctor you came to see. I HAVE NEVER SEEN SUCH A THING. VERY FRUSTRATING AND DISAPPOINTING!!"
"60","David F.","Nashville, TN",5,"I am a fit and healthy man with, thankfully, relatively little experience of hospitals. In my experience Royal Darwin (Northern Australia) and Chiang Mai Ram (Thailand) are world class. Darwin's hospital is free (It's in Australia) and Chiang Mai Ram is very inexpensive.Mayo Clinic is expensive, as are most hospitals here in the Land of The...'Free', but it is raised to another level of medical worth.Politics and dollars aside, the Mayo Clinic must be one of the best medical facilities in the USA. The whole place is beautifully constructed and decorated. The level of efficiency from every single person we encountered, in three separate visits, was astounding. There are no long waits, no prevarication, no loose ends. The place, as one would expect from a hospital, is very clean, and that translates to a reduced risk of infection.My girl needed an operation and we chose Mayo after careful research. She is progressing well and we attribute that, in no small part, to the staff at Mayo.It is my opinion that if you want to feel justifiably confident in the medical team looking after you in this country, you need to make your way to Mayo Clinic.It is, without doubt, a superior facility."
"61","Cheryl M.","Casselberry, FL",1,"Went to the Mayo Clinic Jacksonville for severe nerve pain in thoracic (middle) of my back.  suffering with this pain for 2 years and could not find drs locally that could help.  after several fail attempts with local drs and with pain management procedures, my pain management dr referred me to mayo clinic.  I had such high hopes only to be disappointed once again by lack of care to the point of the neuro surgeon telling me he could not figure out what to do based on the films(mri, CT, xrays etc) and he would bring my file to his peers(other neuro surgeons pain management doctors) and call me on a tuesday that call never came.  I contacted the office 2 days later and claimed he never went to the meeting.  He then called me 4 days later to say no one had any ideas.  I don't trust he ever discussed my case with anyone.  Aren't they know for difficult cases? Even knowing the desperation I was feeling as it was written all over my face .  Mayo in Jacksonville only cares about money.  I had to put 5k up front just to be seen.  only to have to fight for it back after my insurance paid them like they said they would!  They are pathetic!"
"62","Meagan J.","Denver, CO",1,"I saw one of the most condescending doctors I've ever experienced (Lisa Drage), and she was completely wrong with my diagnosis. I traveled out of state to see her in Rochester at the Mayo Clinic, which was a pretty penny as I had no insurance for out of state. But my health was top priority and I wasn't finding anyone local who could assess what was going on, so I felt as though this would be worth it. I had a horrible rash all over my face and on my lower extremities. She scolded me for using what she considered too many products on my face and blamed me for my horrible rash. She provided nothing but more emotional trauma. Finally, 3 years later I've found a doctor who has nailed everything and boy oh boy was Lisa Drage WRONG. Drage quickly diagnosed my face rash as perioral dermatitis from too many products and my lower extremities as a herpes outbreak. Even though all of my cultures and biopsies had already screened for herpes. Come to find out I have rosacea fulminans or pyoderma faciale on my face (she may need to google all of these as I'm sure she's never heard of any of this before), pyoderma gangrenosum on my lower extremities, and come to find out these are related to IBD - which my current doctor had me screened for and I do have. All of these things were related and Drage was 100% wrong about everything."
"63","N S.","Honolulu, HI",3,"The Mayo Clinic in Rochester MN SHOULD be the best in the world, but is actually RUN-OF-THE MILL.  MD judgement is replaced by a robotic system set to increase reimbursement ($) and reduce physician control. This ""efficiency"" makes patient care mediocre. One specialist MD cannot refer directly to another. The system is always in the way.Go to the pharmacy and the prescriptions ready are only from that last specialist - not the meds for your procedure next day, the ones you were messaged to pick up.  No matter that you asked the clerk, ""please, are you sure this is all?"" Medical history is garbled into an inaccurate composite that would have the original Mayo brothers ENRAGED or IN TEARS, or both, if they had to deal with this system. Ever play the game,""telephone""? First kid whispers a word into second kid's ear, and so on down the line. Last kid says the word heard out loud. Play with more than 2 kids, the starting word is never the word spoken out at the end. At Mayo this game is applied to patient care.The patient speaks to a ""cheaper"" clinician (say LPN), what the patient said is Passed to the RN, who then speaks to the Surgeon, the Surgeon passes his or her conclusion back to the RN - who finally informs the patient. Confusion and error result. Everything else is communicated on line on the ""patient portal"" which does not appear to be scrutinized by anyone OTHER than the patient. Put your info in, but no clerk ever seems to have it. Get your instructions, but ""no reply"" allowed. This leads to surgeons believing a patient is wheelchair bound who simply was wheeled across campus by a younger relative and in fact NEVER uses a wheel chair at home, and a whole variety of other mis-impression's that might be terribly funny in a sit-com but are truly terrible when they impact on what should be excellent care. Be CAREFUL! We can only hope that the docs themselves care enough to save this great institution before it is entirely disabled.addendum: I just read another review and the reply. This verifies my impression as a patient who is also a retired physician and surgeon, note that a neurosurgical patient who is unhappy because he had a bad result gets a reply from THE BUSINESS MANAGER. SHAME on YOU Mayo Clinic, SHAME on perverting the mission of the original Mayo Brother' practice centered on BEST CARE into an organization of accountants."
"64","Debbie F.","Waukee, IA",5,"Without a doubt, this is the standard that all health care should be held to.  My mother's health has been failing over the last 3-4 years and we have been from specialist to specialist all over the state of Iowa with no answers or solutions.  As she kept deteriorating, we spoke with her G.P. who did a referral letter to Mayo.The first week we visited, we got more results than the last few years of being shuffled from doctor to doctor.  Mom was checked from the top of her head to the pads of her feet and they found issues we never imagined to exist.Now three months later we are back for our third visit and she is thriving.  We owe so much to the efficency and caring of the Mayo Clinic and their staff.The primary reason I am awed by them is their communication.  The patient app for a smart phone is incredible.  Now, we have instant access to Mom's records, regardless of where we are.  At home, when I request her medical records, it can take several weeks to get copies.  And best of all...the doctors all communicate with each other here.When she has lab work done in the morning here, the doctor has the results by the time we see him in the afternoon.  Our experiences at home have been hounding the lab to get results to a doc by the next week.From the volunteers in the lobbies to the doctors, the staff has all been incredible.  There is a sense of real paitent care here.Aestically solution it is a beautiful place to heal.  The art collections, the music from the grand piano in the subway, and relaxing areas to wait all lend to a calming spirit.I am convinced this is the place to be when trying to find solutions.  My family owes a great debt to Mayo Clinic."
"65","Zo H.","El Paso, TX",1,"Amazing! Impeccable state of the art facilities with the latest medical tech, physicians are knowledgeable and caring. People (many nurses, some physicians and most support staff) are rude, non responsive and lazy. They will move things around to their convenience and not for benefit of patient, billing is a joke and a nightmare!. We have had several horrible experiences here at the clinic even though we are both physicians as well. Go to Olmsted they will treat you deservingly."
"66","Patricia W.","Cumberland, WI",2,"I believe that I get good medical care at Mayo but beware that if you do not live in a big city, Mayo does not offer all the things they advertise...like virtual visits.  I live in small town Wisconsin and virtual visits were not available to me at the beginning of this pandemic.  they started months after covid hit...really?  Second, the patient portal pre-check in has never let me complete it. I stopped trying. Other parts work fine.  Third, I got a call that I needed a covid test.  Mayo was not available during the weekend except in a town over an hour away and that was only 1/2 day on Saturday.  this surprised me as Mayo is always sending me their self-aggrandizing ads about how much they care and what they are doing to deal with the pandemic..."
"67","John M.","Dubuque, IA",5,"I'm almost reluctant to offer this review, because it's going to be so over the top that maybe your experience can't possibly live up to it. Let's take the risk.Went in today for my first appointment since moving to Rochester. Nothing major, just some foot pain. I'm a white male Medicaid patient, early 60's. The nurse recorded weight and height, checked blood pressure, and filled in some blanks in my medical records. Then the doctor examined my feet and did a basic intake exam: heart and lungs, check for skin cancer, talk about medical and family history, etc. She decided to schedule some blood tests and X-rays of my feet. Those took place immediately on leaving her office: the appointment was at 8:30, and I was done with exam, blood tests, and X-rays by 10 AM. It felt unrushed and efficient.It's now 1:30 PM of the same day. They sent the results of the blood tests, and a note by the doctor about those and the X-rays. (Oh, and she set up a physical therapy appointment before I left, too.)Everyone I met was charming and professional, from the clerks who checked me in to those who checked me out as I left. Did I mention I'm a Medicaid patient?I wish everyone in our country could have the quick, professional, pleasant care I received today, and take it for granted as a given."
"68","Shelly J.","Rochester, MN",2,"You're just another number at Mayo Clinic and it is very politically and egotistically driven to the point where I would go as far as some people there play God. They waste their money on a lot of things they don't need to. Very prejudice towards certain staff in ways that I cannot explain on yelp. They are behind the eight ball as well in terms of change and research driven or evidence-based practice. This is a safe place to receive care however just know that they have a long ways to go to be #1. I would recommend going elsewhere if you really want to get to know your doctors due to constant turnover with residents."
"69","Jessica D.","Wexford, PA",5,"I was sent by my physician in Pittsburgh to see Dr. Holmes at the Mayo Clinic.Upon arrival there is plenty of parking that surrounds the hospitals. However from the parking garage it is a little bit of a hike to the patron entrance of the Mayo Building. The building is beautiful, clean and friendly people everywhere helping you out.  The check in was quick and easy - and receptionist was kind and payed attention to detail while protecting patient information.My appointment was at 3:15 and I was taken back at 2:51.  They are prompt and there was minimal wait time!  The ophthalmology staff was courteous and very thorough.  I was impressed by the examination each person involved performed.Treatment rooms are clean and spacious.  Dr. Holmes is a genius.  My sister and I were so impressed with him and his ability to problem solve. Truly an incredible doctor and I would recommend him to anyone.Our experience was as good as it could have been!  It's a breath of fresh air to have physicians who take their time and listen!"
"70","Kirby S.","Oceanside, CA",1,"Came in through the ER after a botched Mayo procedure at their own hospital to dilate my esophagus tore a hole in it. Stayed 3 days and was never offered personal hygiene. Two hours before I was discharged  I asked for a toothbrush and that was the extent that was provided. A previous stay was identical, completely disheartening at the lack of care and concerns for my fellow patients. There were great nurses but absolutely a minority.If that was the only example I could get over it but I have so many documented examples of wrong medication doses, incorrect symptoms reported, and absolute false statements in medical records. I was told to take antidepressants but my symptoms were actually anemia which was easily corrected with iron supplements. They search for key words in your description of symptoms and assign it to the first drug that fits.Because of their reputation I didn't want to complain hoping to ignore all these mistakes and get a good treatment plan. These incidents occurred over the last year and luckily I'm taking NO medications and couldn't be better.I was humiliated, disrespected and belittled. I'm lucky I'm able to afford going to HonorHealth and receive much better patient care with compassion."
"71","Shan Z.","Rochester, MN",5,"Mayo consistently is ranked the top hospital in the country, and for good reason. The facilities here are phenomenal. The staff is knowledgeable, and there are volunteers throughout the hospital to answer any questions you may have. Parking is easily accessible through garages and underground tunnels. Tips from a local: there are tons of restaurants in the tunnels (called subways) under the hospitals. I highly recommend eating lunch or a snack at Daubes or taking the skywalk to Zzzest Lunch Counter. Ask a volunteer how to get to each. Also, plan to eat somewhere else for dinner. Everything in the subways shuts down at 5pm and on the weekends. There is original artwork thought the buildings. Roadans and Ellsworth Kellys, just to name a few of the high profile artists you will see.  There is so much that the hospital even has an official tour you can take. To access the tour, go to the Judd Auditorium at 1:00 M-F in the Mayo building. Make sure you are on time, they will leave without you!"
"72","Anne S.","Austin, TX",1,"I had the most traumatic experience of my life at the Mayo Clinic. I was there for endometriosis and gastroparesis when i was 18. They didn't agree with my request for a hysterectomy, but scheduled it. The night before after doing all the prep they decided not to. I had a serious pain flare (a multiple times a day occurrence) where my face turned ashen gray and I couldn't sit or stand. My mum took me to the Mayo ER. They gave me Percocet and dilaudid, and I fell asleep. My mum stepped out of the room for a phone call with my dad and they wheeled me off to the psych ward. They wouldn't tell my mum where I was. My dads a lawyer so he had to call with POA, luckily already something we had done. Then they made it extremely hard for them to get me out. My dad had to get ahold of a board member. The entire time I was crying in a psych ward room and they told me my parents didn't want me and weren't going to get me. I was there for hours under this guise, and they took my clothes and belongings. This was the most traumatic experience of my life, and I do not support the Mayo Clinic. Do not go here."
"73","Emma H.","Cedar Rapids, IA",5,"First time at the Mayo Clinic. Parking and getting in and where I needed to be was surprisingly easy, considering the size and traffic. Help desk was very friendly and pointed me exactly where to go. I was a tad nervous to be seeing a renowned specialist, but my doctor was very down to earth and confident in the information he gave me. The confidence in his answers makes me feel more reassured about my care and treatment plan. Definitely recommend someone goes there if possible, even just for a second opinion. We stayed in an Airbnb for the week, which helped greatly with traveling cost!"
"74","Susannah H.","Minneapolis, MN",5,"I credit the Mayo Clinic with saving my life, my mother's life, and my father's life, as well as being one of the greatest medical specialist facilities I have ever had the privilege to be able to go to. I don't mind the drive out there so much, and even though Rochester isn't quite a *happening city*, it's charming in its own way. The doctors I have seen there are thorough, patient, incredibly knowledgeable, and very professional. No ""suspender doctors"" here, if you know what I mean. The nurses are also very kind and helpful, the facilities are well maintained (could maybe use a remodel), and it's super easy to get from one appointment to the next. Plus it's SUPER helpful that pretty much every kind of specialist is at Mayo. Need to see a neurologist? No problem!  Podiatrist?  Got it!  ENT specialist?  Child's play! They also have a ton of educational resources, amazing artwork, and shops that can supply pretty much any major medical need. If you can, go to Mayo."
"75","Jenni K.","Rochester, MN",5,"What I really like:1) When you take your kids for their annual exam & immunizations, they give out an informational booklet based on your child's age that provides helpful info on their development as well as suggestions on what parents can do to help nurture and grow their potential.2) The Mayo Clinic puts out lots of free informational booklets & DVDS on a variety of health topics for anyone to explore. For example, I picked up a free DVD on Tai Chi."
"76","Sandy S.","Monticello, MN",5,"Brought my son here after he was diagnosed with neuro issues. Nations #1 neurosurgeons. Modern, classy and impressive, the Mayo Clinic is an impressive marble building. A grand piano is played in the lobby, many, many volunteers to help guide you throughout and even help at the elevators.  This place is huge and a tunnel of mazes called the Subway. The Subway connects the Charlton, Eisenberg, Mayo, Methodist Hospital, many restaurants, shops, drugstores, pharmacies, flower shop, clothing, food court, etc...it's nice when you're here in the winter. No need for a coat. If you stay at one of the connected hotels, you can get to all by this way.The doctors, nurses and volunteers are top notch. We've never felt like a number. We've been treated with the upmost respect. We have had the best oversee our son's treatment. We wouldn't have taken him anywhere else."
"77","J G.","Avondale, AZ",1,"Disgusted because the clinic allowed a politician to ignore their safety protocol. Then they deleted their Tweet which said Pence was previously informed about the rules. Hospitals are supposed to care about patient safety, not pandering to a political agenda."
"78","MJ S.","Nevada / Lidgerwood, Spokane, WA",3,"Very mixed feelings. They provide great service when they can, but if you're looking for doctors who take risk with unusual cases this is NOT the place. I offered to pay them to look at my case before flying across the country, and they said they couldn't make a judgment without seeing me even though I sent all MRIs and records. Yet, within 2 minutes of the appointment they said there was nothing they could do. I knew I shouldn't have gone when they wouldn't give me an advanced answer - because they want the business. I guess you live and learn, but they give excellent business to problems with straight forward solutions! Thanks Mayo"
"79","Donna H.","Champaign, IL",5,"Dr. Sandhya Pruthi , at Mayo Clinic,  Rochester, is the most outstanding doctor I have  ever been to.Smart, gracious, caring, thoughtful, explains everything.She is simply outstanding.    Her department is Breast Imagery.   You will find no one like her.Mayo is the best.   Everyone is so kind, competent  and efficient but Dr. Pruthi is the best !!'"
"80","Shari P.","Anchorage, AK",5,"I was very pleased with my visit to the Mayo Clinic campus in Minnesota.  They had wheelchairs and guest service agents available to assist you.  Many of the hotels offer a free shuttle to the clinic, so I paid $15 to get to the clinic from the airport, and jumped on the free shuttle to the hotel. The clinic also has a free shuttle to Walmart and the Apache Mall. Just another way to get around the city for cheap.  The shuttles stop at 6:30pm. They have a many buildings within the clinic.  The buildings change name with directions.  So, you can be on the 19th floor and the North could be the Mayo buildings, and South could be the Gonda Building.  It's very easy to get confused, but they have helpful staff everywhere! When I was given my original itinerary, they had me scheduled through August, but I kept checking everyday for cancelations, and was able to fit all of my test within two weeks. That made me very happy. They do process a lot of people, and it can sometimes feel like you're being rushed, but for the most part, I felt I was treated well. I liked how I was able to check in early to procedures, and get processed early.  Didn't work out all the time, but I can admit they were never late.  This shows how efficient they are. The location has a cafeteria, but it closes at 2pm, which was a little early for me, but there are plenty of restaurants in the vicinity. There are shops in the vicinity for people who are waiting for long periods of time. I really appreciated all of the art in the location, which made it seem less intimidating. The media used wad very diversed."
"81","Marge S.","Winchester, OR",1,"In October of 2019 my best friend was diagnosed with pancreatic cancer. She and her husband spent several days researching the best possible hospital. After research, and talking to medical professionals they selected the Mayo Clinic in Rochester MN. We live in Oregon so this meant a lot of travel, but they wanted the best team. Their first visit with the Oncologist and surgeon went very well. They returned home for her to begin a very aggressive regime of chemo. Covid 19 hit so she had to have an extra round of chemo to get her follow up appointment scheduled. They risked Covid exposure to fly back to Rochester for their appointments. She was to get a scan on one day, and the next day see the Oncologist and surgeon. The next day, upon meeting with the Oncologist, she was informed her appointment with the surgeon had been cancelled. She had had no notification of this change. The reason they gave was because of Covid 19. The hospital did not know what the availability of respirators would be if she could have surgery following radiation. I guess surgery for pancreatic cancer is elective surgery. You elect surgery or you die. She had several questions that the Oncologist couldn't answer but said the surgeon would call her and let her know what the plan would be moving forward. She told the Oncologist she would return to her room and wait for his call. He did not call, so she called his office the next day and was told he was given the message and would call her. To this day the surgeon has never reached out. My friend and her husband returned from the trip devastated. She now had no team, and no plan. Fortunately OHSU and our local cancer center stepped up and took over. She has completed aggressive radiation and now waits to see if she will be able to have life saving surgery. My huge problem in all of this is the total lack of communication and follow through by a medical institution that is reportedly so good. How any doctor can lack so much empathy is beyond me. I feel these actions are, if not malpractice, unethical. Shame all everyone at Mayo involved in this, from the nurse who never notified her about the cancellation, before making the long dangerous trip, to the Oncologist, who was unable answer any of her questions, and finally to the unfeeling surgeon who totally dropped the ball."
"82","Cynthia E.","Hopkins, MN",5,"I love Minnesota to death and what makes it even unique is having Mayo, as cheesy as it sounds it's a fact! I live in Minneapolis, and down here we have pretty legit hospitals. The ones I always went to were and actually still go are,  HCMC, Fairview Southdale Hospital and of course Park Niccolet. I am very thankful for my health, so far so good the only major issue I had was I split my face open, and Fairview gave me stitches. I married and my partner he started to develop Keratoconus which thins and scars your cornea which causes vision loss. He has this disease on both of his eyes and the feeling of your other half losing his vision rapidly, and you can not reverse this disease is beyond me, it's the most painful, heartbreaking, hopeless feeling seeing the person you love going through something that is out of your control. We went to every hospital and vision specialist here in the Twin Cities, we even tried the U of M and everyone said that Keratoconus is rare that they do not have much to work with, and also if they could help out the cost would be out of the top ridiculous amount of money. This went on for a month, till one-day driving I remember "" WAIT A F***ING MINUTE, WE HAVE MAYO."" Well, that same day I hit up Mayo and guess what? They do work Keratoconus patients, and they have the proper tools to help slow the disease down and cornea transplants if need be.! The condition never goes away, but they can slow it down.!!!Guess what else! They work with you on payments! WHAT!!!!! Payment plans!!! WTF. Whatever you can afford to pay monthly they work with you! MIND BLOWING! Never had issues with our insurance! At first, when I thought about Mayo, I was super excited, but I was terrified about cost thinking such a fancy top notch hospital this is going to be pricey but worth it! But Mayo cares about your health then forcing a payment out of you. Every time we came in for a checkup our Doctor Mr. Patel ( AMAZING ) always would ask us if our insurance company is giving us a hard time and if so he will help with the situation. Never had a doctor ask me if I need help financially or if my insurance company was being a pain in the a**.Long story short Mayo is the place to go to, yes it is in Rochester it's about a 2-hour drive, and we go every 2 weeks but now with his Keratoconus being stable and his vision is better than before now its every 2 months, its well worth it. If your worried about cost, don't be Mayo has payment plans whatever you can put down they accept it. They just ask questions, how much you make, family members, your current situation, and that's basically kinda it. We didn't have to provide proof just our honest word, insurance we have not had an issue with it, but hearing our doctor ask if they're being a pain and that they can help with that is pretty assuring that they will help out. I'm not being dramatic when I say if I never thought about Mayo I honestly believe, he would have lost his vision by now, no one helped out all they would do is eye scans, no treatment not even eye drops!! But the first day of Mayo was a long one, scans, test, but at the end, we came out with a treatment plan, medications and a future plan on what the next couple months will look like, which is nice to know beforehand. Aside from that, the building is SOOOO massive not even funny very organized, super clean, doesn't even feel like a hospital which I like because hospitals make me a little uneasy, but this has more of a museum, business, sleek, modern feel that I swear you would doublethink "" Is this Mayo? Or a Science Museum?"" They have food courts, shops, tours, music, skyways, hotels it's super nice! But massive so you can get lost, but there's maps and helpful staff all around just in case you end up like me standing there looking dumb. One more thing which I thought was dope is the doctors have no uniform they dress in business suits. I kid you not when our doctor came in which was actually 2 doctors the first visit they walked in with fitted business suits they looked like Calvin Klein models, no joke I thought there were like FBI or CEO. ,I thought that was pretty cool, the nurses they have the regular uniforms but the Doctors they look like eye candy  . don't mind that!. But in all seriousness, Mayo is the best hospital, I recommend going here before any other hospitals, to save you some stress."
"83","Emma ..","Traverse City, MI",5,"Everyone there is extremely professional! I see now why it's the top place to go for medical care- mental or physical.Building is easy to navigate, it's also connected to a hotel you can stay at. There's a cafeteria, too. Doctors are all very nice and give amazing advice."
"84","Steven J.","Santa Fe, NM",1,"A completely worthless American corporation!This ""hospital"" refuses to see patients with complex medical issues even if they have full insurance and a doctor referral!  While the initial phone number you call has a caring person on the other end, they simply send 98% of people an email denial form letter within 1-2 days.I suggest you look elsewhere unless you...A) live by one of their clinics orB) have a very obvious condition that they can diagnose easily.This once famed institution has greatly fallen and is no better than your local urgent care in your neighborhood.Shame of you Mayo!  Your lack of compassion to treat people, especially those who have full insurance, is shocking and horrific.  I see more and more reviews like this as the months go by, and it leads me to think that you are becoming nothing more than a greedy American corporation with no heart or concern for people with real issues.  I doubt I'll get any response to my concern, but I'm willing to be proven wrong and even change my review if someone with actual decision power would contact me.  I can be very reasonable, but it is hard to be that way with an entity that so far has been exceedingly unreasonable.All the best to those who need help and cannot seem to find it!"
"85","Julia F.","Los Angeles, CA",5,"Mayo Clinic is beautiful. There's a reason why people come here from all over the world. First of all- the Doctors are all lovely. It was such a relief to meet with doctors who didn't have to google my condition. I was treated with respect, and taken seriously. For the most part, all of my doctors were on time. However, I did have to wait one hour to see a specialist. Which is fine, things happen, but thank goodness for the free wifi! I forgot my book and without the wifi, I would've been bored. The Mayo Clinic campus itself is HUGE!!! There is free wifi throughout the whole campus. If you still play Pokémon Go, there's a lot of Pokémon around to catch (no shame). I tried to arrive about an hour early each day, for parking, and walking to the main building. It still gave me about 30 minutes to spare, and I'd go grab a quick cup of coffee. It was so nice meeting with medical professions who didn't have to look up my condition! If you get referred here, and your insurance covered your visit/you're filthy rich... GO HERE! Seriously the best medical care."
"86","Karen A.","Rochester, MN",5,"Beautiful, efficient medical facility where meeting the needs of the patients is the number one priority."
"87","Sharon O.","Albuquerque, NM",1,"Mike Pence without a face mask touring the Mayo Clinic during the Covid-19 Pandemic says a lot about the priorities of the Mayo Clinic.  Shame on the Mayo Clinic, Rochester, MN for allowing the VP to go without a face mask!"
"88","Linda R.","San Francisco, CA",2,"We are anxious to do a complete evaluation directly to Mayo but haven't seen that yet. We dealt with a downed computer system (which I don't even blame them for that), but how they handled themselves- from the desk staff, to the intake nurse to the doctors on how they dealt with it was difficult. We were offered few options & were told in the end the one procedure that would offer @ least temporary relief wasn't available for over a month. We drove over 14 hrs round trip and were willing to be there as long as it took. We were dismissed after 2 appointments in one day only to be called after we made the long drive home that they could do the procedure tomorrow.Beyond belief disappointed in this ""medical Mecca """
"89","Koko C.","Grand Rapids, MI",1,"Mayo's business manager does not deny cherry picking cases/patients when he defends it with demand exceeds supply arguments. Cancer & chemo get top priority, bc there's big money in chemo and surgery. Their TV ads are about cancer. You can get around their cherry picking if you just show up without an appt, as a ""checker"". Could be either a long wait, or faster than waiting for an appt - if you happen to be gifted with an appt. There are lots of better places to get quality care, so keep looking."
"90","Lauren L.","Chicago, IL",5,"World class all the way. There's so many people here to help so there's always someone to talk to if you have a concern (even people in front of elevators to help get you to the right floor). Everything is efficient, clean and modern, and of the doctors are all great. We flew here specifically for care and it was worth it. Schedule an appointment online and you'll immediately see why they are the best -- they called us the next day and talked to us for 2 hrs and got us squared away with an appointment, transportation, hotels, etc."
"91","John D.","Rochester, MN",1,"Wow greedy bitches, so the ""gods "" at mayo have their 1st coronavirus patient they will infect us all....down with may. They need to regect all cronoviris people."
"92","Art R.","Royal Oak, MI",5,"It's the Somerset / Harvard campus of Hospital and Health services. Wow! It isn't just well designed, decorated, or that there is a patient office at every corner to accomplish work or work on your health. Next, the schedule which I'm told is similar to a packed weekend at the college of choice planned on being attended."
"93","Heidi D.","Omaha, NE",2,"My boyfriend and I went up to Rochester for a second opinion with the Mayo Clinic, his appointment was on May 23, 2016. He has been battling Chronic Pancreatitis. We were aware that there is not much treatment for Chronic Pancreatitis and we were not expecting miracles. When we went to the appointment he was first seen by Lisa D. Pisney, ANP in the Gastroenterology, she looked through his history and asked questions, she stated the same things that he should be doing like don't drink, don't smoke and eat a low fat diet. She stated that there wasn't much they can really do at this point but said that she will see what the doctor had to say. We then saw Dr. Randall Pearson who wanted to do a high contrast CT because one hasn't been done in a while. He told us we will get the CT completed and follow back up with him to discuss the results and possible treatment. He was scheduled for his scan the following day.His CT scan was that following day which was relatively quick, however, no follow up appointment was given and we were sent back to our hotel wondering ""what's next?"" We did not hear anything for the rest of that day and we ended up calling Dr. Pearson's secretary the next day to find out what we should do. She told us that she would have Nurse Pisney contact us which sadly never happened. We ended up leaving a day early after not hearing from the Mayo Clinic for 48 hours since his scan, I am glad we did because they never did call him, we could have left two days earlier actually so we feel our time was wasted. We are just going to ask them to send his CT results to his doctor at home. Overall, we expected better and are highly disappointed in how we were treated. We felt blown off. The campus was beautiful and well maintained, shuttle service to/from the hotels is convenient. In the end though that is just colored bubbles. We were not there for the scenery but the treatment and sadly felt like we wasted our time."
"94","Jo M.","Rochester, NY",1,"I am changing my review. At first I was so impressed by them, but they aren't good at all for small fiber neuropathy or complex situations. They put people in their diagnostic flow chart and if you don't fall into a neat basket they say you have Central Sensitization...and while I believe there is truth to bodies becoming sensitized to pain, that is not a cause of illness. It is a result of illness. And, pain was not among my chief symptoms. When my blood labs failed to shown improvement after taking the prescribed supplement, rather than investigate why, I was accused of not taking the supplement and shut out by the physician in charge of my care. He wouldn't even return my calls or see me after I traveled across country to my other appointments there. A year and a half later, I continue to take the supplement and am given it intravenously and my bloodwork still hasn't shown an improvement. I went to their patient relations office to try to get to see the physician again and it was nothing more than an attempt to avoid lawsuits. They are not patient advocates working there, they are Mayo employees. They gave up on me and I am giving up on them."
"95","Chelsy M.","Waite Park, MN",5,"The Mayo saved my daughters life. They are all about the medicine and research. We have been to St. Mary's hospital, and now Doctor every few months at Mayo for cardiology, nutrition, general surgery and more. It's overwhelming at first with several buildings but the staff and volunteers are very helpful."
"96","Claudia T.","Asheville, NC",1,"First off, I think the doctors care and this hospital has a history of doctors doing research Andy treatments helping people globally. This is about the hospital though and the issues with the financial department... Returning from a trip to Mayo Clinic in Rochester, MN. My endocrinologist got paperwork saying I was approved by NM medicaid for treatment and surgery for my adrenal tumors and Cushing's syndrome. I made an apt on the phone with a rep from endocrinology who said insurance and everything was good and ready. I then received a call before my appointment (after flying to Rochester) that Mayo didn't work with Medicaid and they would not accept my insurance. Many calls later between doctors and insurance and Mayo the business office at Mayo Clinic called and said to proceed with the consultation. That was yesterday. I asked ""I'm not going to get a bill right? I can't afford this"" and they said no.... today they (Amber and bed supervisor in the business office)said they never said that (they absolutely did and I would NOT have accepted a consult if I had known they'd mess up getting me here then bill me for it) and it would be $675 (just for a 30 min consult I didn't want or need, no tests, no answers, no treatment). So after flight expenses for my mom and myself, hotels, time off work, and a bill I was implied was for a free consult, no surgery, no treatment, nothing but a hospital that prides itself on ""inclusivity"" and ""diversity"" as long as you're rich."
"97","Jim L.","Farmington, MN",5,"If you want to see how a well-oiled machine works, this is the place.  They set up a timed schedule throughout the day so you know where you will be and when each day.  If one thing runs long then your entire schedule for the day is modified to get the most out of each and every day.  The professionalism and organization of this place is top-notch and it feels good not to be involved with a so-so environment when you are battling for your life.  Everyone that I talk to about this place just talks so highly about it.  If you are having a cancer scare, I think this is the best place for you to be to maximize your chances of a full recovery.  That is all they do and they do it well."
